"COMID","logDA_km2","logRT_total_hz_s","logq_hz_total_m_s","pred_DOC","tn_conc_mg_l","pred_DO","StreamOrde","totco2g_per_km","totco2g_per_m2","logtotco2_ang_per_m2","logtotco2_o2g_per_m2","logtotco2g_per_m2","logtotco2g_per_km","ID"
24422913,2.31429603251775,5.45697743460525,-3.8149054676555,1.582604672,0.0757679997,10.8858750830323,3,125674072.546462,10297.4414405924,1.82650941878537,4.00989152602748,4.01272933089309,8.09924568889164,9
24422975,2.45737785301507,5.03133172253698,-3.10451289245835,1.373010658,0.0632678265,11.1136472077577,5,717177364.775239,49407.5744875495,2.39766554055064,4.69159184138216,4.69379353406491,8.85562657410217,9
24423897,1.62345708161102,4.44253934414328,-3.55691637799964,1.514378905,0.1040583575,11.3737407047265,3,107711799.779736,20389.0447852708,2.15526688659076,4.30634068157576,4.30939687981427,8.03226328267142,9
24423139,1.77992821746108,3.59237435830783,-2.73726968382249,1.626283138,0.0857585821,11.3076655707617,2,862857995.61753,135116.459249479,2.98524667724641,5.12759022216306,5.13070825594897,8.93593932781923,9
24422835,2.34103387877073,5.0296385219883,-3.38433303812281,1.692614206,0.1046451699,11.0310815987524,4,429773919.685039,34091.7420571673,2.44377780986253,4.52909542973545,4.53264919385091,8.63324005731518,9
24423157,2.24457100530144,5.12036659564032,-3.50244501283234,1.521927691,0.0966989768,11.1941651517199,4,254983412.847348,22735.1619422636,2.19409980265549,4.35370107309626,4.35669805202611,8.40651192967643,9
24423001,2.34264924447175,4.488593715256,-2.8931863385528,1.388054206,0.0595950424,11.1026567730247,5,1050928627.33516,83201.6709475923,2.61575830680321,4.91797186700611,4.92013204835841,9.02157322239644,9
24422871,1.47783291426853,4.70538151217015,-3.82007967440298,1.399170292,0.0480711262,11.4825994496485,2,40438383.7431694,9132.34545702923,1.60487765625917,3.95866349182461,3.96058233155712,7.60679378921743,9
24125883,2.13068685110615,4.99889321864783,-3.50655572571933,1.929969861,0.0997015931,10.8922546875392,4,290999535.952297,29786.9319595782,2.46145389699193,4.46978611818481,4.4740257733848,8.46389229643087,9
24125945,2.13767749601465,5.15937978530697,-3.56243819061752,2.049148437,0.0978763195,11.116978990835,4,279188872.434018,28336.8638675706,2.47802303882698,4.44771977353189,4.45235178379519,8.44589810472187,9
24126041,1.21383638832527,4.70799486636124,-3.90530725517492,1.949516654,0.1075666106,11.1078921434478,2,32101197.3376927,9983.31132294579,2.00615605678719,3.99483974032427,3.9992746145098,7.50652123139101,9
24126011,1.90960790614852,4.72058669803558,-3.20483053097301,2.172668422,0.1076439775,10.9820363067277,3,457496197.026022,61220.1610595607,2.87270609321677,4.7815702560241,4.78689446781581,8.66038748830962,9
24125999,1.98289508307244,4.45546205180107,-2.93382355988012,2.115429322,0.1101950099,10.9999576462473,3,838012713.720317,102607.718374325,3.08093133396108,5.00605025960375,5.01118003057405,8.92325060748075,9
24125873,2.46822411511246,4.65474614658234,-2.83316857866411,1.976169231,0.0989385325,10.9871302682016,5,1585846844.62151,107824.846958749,3.03496958789673,5.02833125066612,5.03271885040233,9.20026124240938,9
24126059,2.82221706554602,5.58908849048207,-3.3165449990902,2.202947606,0.1516254244,10.8769292633448,5,1085186737.51035,48042.3370529189,2.82964723754869,4.6754740733397,4.68162412580204,9.03550447744003,9
24125769,3.1334897281223,5.58350365612671,-3.09367147804935,2.183469005,0.142072918,10.8296014661947,6,1776958318.56899,53944.4059495045,2.86457570707491,4.72601200651536,4.73194641489056,9.24967724084538,9
24125789,3.12384553467844,5.49772155748875,-3.10967322829685,2.174789065,0.1358527672,10.8574348878973,6,1740222191.08696,53450.3400887354,2.85128246693721,4.72214260126095,4.72795047284117,9.24060470242192,9
24125859,2.63303485370296,4.61804053413013,-2.82356720133161,1.999577937,0.1026691216,10.9821576614142,5,1986331284.2661,110599.903327853,3.06065368257691,5.03921584625736,5.04375474736471,9.29805168269419,9
24126251,2.34965802422317,5.25260755751032,-3.61844455187773,1.966628501,0.180685818,10.9445547102269,4,305153437.757626,23954.5352310768,2.45908752973808,4.37413839182831,4.37938774903942,8.48451826693806,9
23100392,2.49025521619747,5.48749676226369,-4.31636034365372,2.674422728,0.3492526631,10.5311988504311,4,64392219.279661,4262.79133445847,2.05289121176178,3.61803135671028,3.62969407425839,7.80883339332168,9
23100338,2.42248346899364,5.0984284518637,-4.0534986692324,2.808743776,0.314286112,10.2040843925143,4,58422936.5303244,4198.73396843652,2.09505244792752,3.61004953716177,3.6231183586341,7.76658338226547,9
23100328,2.8479410362796,5.91617962737702,-4.5526961942639,2.880546448,0.3379310277,10.3173540355629,5,40340982.3014019,1731.11254958174,1.74826742613579,3.22404133766995,3.23832530477504,7.6057464690598,9
23099694,4.05362850367852,8.50112138709868,-5.96730067250738,2.563688546,0.5453725587,10.3334060628774,7,3476921.91772655,34.6029618747055,-0.0701003166555713,1.52829977507303,1.53911327424905,6.54119493771194,9
23100242,3.16144829436447,8.51054501020661,-6.73282827159699,3.051274021,0.3661450417,10.13533629081,5,432847.677110665,12.7024409984613,-0.314036266795214,1.0869714354332,1.10388718633359,5.63633509120591,9
23099678,4.1290922295798,8.17596892953788,-5.92996213339224,2.673438281,0.4890720396,10.2575845036881,7,4339377.84259928,39.4114611223427,0.0361556289379365,1.58347815326227,1.5956225359975,6.63742746709431,9
23100020,3.08117323102837,7.52269539519585,-5.80986447912297,2.897439075,0.578844687,9.93890772370234,5,2530634.28117783,81.8535245019286,0.472980990470436,1.89697785022423,1.91303738428289,6.40322938690357,9
23100428,1.9871753957091,5.19197966850928,-4.28286927397682,2.044417809,0.2767266176,10.7443960208418,3,35695182.840617,4347.96385309856,1.78526243416222,3.63215078061743,3.63828592491171,7.55260961087698,9
23105314,1.29662570715028,4.71516280928405,-4.43049008119915,2.661541121,0.3567119209,10.556116976271,2,16743694.2457232,4710.04752781285,2.0920973828024,3.66147430244131,3.6730252894989,7.22385128481178,9
23100434,1.68183256085947,5.16898073627061,-4.41002049075688,1.778164317,0.2548910751,10.8641353979405,2,13292948.4166449,2344.37300721735,1.40895611933072,3.36525032295076,3.37002671233249,7.12362131947256,9
23100408,1.80236385888417,5.03423492089536,-4.3130231024889,2.977185752,0.4066417703,10.4410747464447,3,42574192.6012918,6487.91984970989,2.38581646285691,3.79551868793983,3.81210547606072,7.62914642053062,9
23100176,2.50469468055807,4.74507724145226,-3.58845099567363,2.143738411,0.2752260685,10.6082975505207,4,372276871.169916,24217.3134163696,2.56947351538195,4.37741969782314,4.3841259623759,8.57086605519422,9
23103496,1.53760000434183,5.0326455082497,-4.42771857144748,2.528512099,0.3815983001,10.7236672817675,3,19077261.8181818,4007.22612082991,1.97087232323406,3.59258898029405,3.60284384960962,7.28051604004355,9
23100162,2.56314063598394,5.84903535522237,-4.58302516471071,2.30509357,0.2870934267,10.4323966466389,4,13311048.4222284,806.690362202974,1.15840167581319,2.8988836607911,2.9067068683139,7.1242122632926,9
23100192,2.37519285798661,5.18697462318615,-3.84895469009325,1.953659974,0.2556546255,10.6576171583113,4,162162881,12341.8334244995,2.19733164184847,4.08580111459698,4.0913796805236,8.20995145146744,9
24423421,2.19708694371927,5.62539345297357,-4.02100920199737,1.581797666,0.1140977326,10.9619817476182,3,67205651.1123953,6347.2703742749,1.68609659440138,3.79925304266892,3.80258699832257,7.82740579304999,9
24423347,1.72754613671442,5.31643562735951,-3.98511363258715,1.32954805,0.0874847307,11.6073210794164,3,33803671.3724089,5640.35118078913,1.50195484008807,3.74885336370126,3.75130614496398,7.52896387099331,9
24423359,1.99949114316783,5.00091101541663,-3.44899889754705,1.629201422,0.0729390667,11.4127502723837,3,249329459.139114,29920.3752659813,2.29991198939283,4.47306180252652,4.47596703621525,8.39677359493259,9
24423325,1.64161984241767,4.89997662168142,-3.80864370882062,1.296628388,0.0983243036,11.1768609940138,2,47755485.3458382,8842.92994918843,1.70328774409407,3.94410893777565,3.94659618468929,7.67902326322043,9
24423655,1.90913597250824,5.00878941570849,-4.0082896984656,2.280655997,0.2468032745,11.221709655529,3,75491306.7546978,10107.6999948965,2.23466493083272,3.99721340314314,4.00465234321082,7.87789694307506,9
24125037,3.74108220077343,7.07778020004552,-4.89526030655688,2.629772301,0.6726755202,10.3334719444112,6,51071270.2913632,742.362287197784,1.31066130479088,2.85848534038002,2.87061590114465,7.7081766601596,9
24422713,3.21997422099072,5.69452945579101,-3.19682150943151,1.644525658,0.1009654192,11.1161325580272,5,2184014815.69966,59703.5667631433,2.66383087200935,4.77263285530312,4.77600027718096,9.33925558016584,9
24423233,2.88508919186439,5.55488490176228,-3.60626715410997,1.733706217,0.1352449667,11.194978453136,5,447231596.721311,18346.6568299941,2.2244646321721,4.2595695895325,4.2635569376582,8.65053247868195,9
24423623,1.26015251234394,4.74910726263353,-4.19067041289061,1.671530716,0.178955717,10.8637724776301,3,19349515.3272577,5689.09493145004,1.72347165014522,3.75098585508328,3.75504318071116,7.28667009114647,9
24424869,1.64321374881001,4.27979193926954,-3.5091871086673,1.598651876,0.1281888818,11.500595935334,3,122610407.122233,22660.0696974849,2.26033899904026,4.35175684603174,4.35526124132555,8.08852733448856,9
24423243,2.81112419144518,5.67618287388951,-3.58576506087065,1.604450508,0.1197108606,11.210545824204,5,619652462.915601,27803.981723868,2.34220317414538,4.44065870665824,4.44410699436695,8.79214818021403,9
24423517,2.17741643914696,5.63130944846034,-4.2804796246337,2.628400078,0.2837251405,10.699199918283,4,67223936.1702128,6502.18734796438,2.19769479950371,3.80239993777331,3.8130594786967,7.8275239381685,9
24423479,2.49107987138065,5.91952824629657,-4.60151844430197,2.971441865,0.6395825256,10.3496642369259,4,38305769.4113229,2533.32425722798,2.01540796633423,3.38555493373532,3.40369078162315,7.58326419002084,9
23099864,3.92297158184137,5.22402202963491,-3.32461866027524,2.376596825,0.3199919744,10.5630266830457,7,1052134951.82109,12267.7844855597,2.37594611078483,4.08027031856033,4.08876613790432,9.02207144806139,9
24425515,3.39617412588867,5.03062738940615,-3.09822198772603,1.715429601,0.1172151767,11.1255823257246,6,640616024.887556,14144.6700507553,2.08593983331776,4.14683436761395,4.15059282123044,8.80659779825723,9
24422873,1.37871578263466,4.98995409955242,-3.93370322979356,1.408334771,0.0463786732,11.4053150383374,2,25006393.8906752,6368.15708791312,1.44123612604733,3.80212599298313,3.80401376791623,7.39805106772818,9
24423847,0.560086048497414,4.33942268167987,-4.17508365034026,1.368859894,0.0550544433,11.9624777745176,1,6008577.71260997,4127.1664800013,1.28532949979743,3.61361738910275,3.61565198762897,6.77877168254082,9
23100404,2.26383648415035,5.00014186097476,-3.91817356755221,2.335023395,0.3042845159,10.702864921526,4,136145830.291971,11859.0345129785,2.34387755615005,4.06588940908281,4.07404933297816,8.13400434483927,9
23100608,1.50382199469669,4.9933019351028,-4.390585711261,2.424676008,0.3410480695,10.7654622884681,2,16283480.5302403,3563.32486283103,1.86838035688703,3.54275944223107,3.55185541811397,7.21174723922144,9
23100200,1.83270110934681,4.84479917673086,-3.89753136590263,2.161236593,0.2426350597,10.6845367406736,3,83110999.3355482,12208.1081501063,2.26840212475078,4.07999779427502,4.08664836798845,7.91965850434508,9
24424705,0.816910459667913,4.51868206351411,-4.35851678526674,2.484149083,0.3299665308,11.5409235149165,2,8907000,4481.48800381234,1.98869672499512,3.64187620210621,3.65142223822752,6.94973145231571,9
24423741,1.40112126169385,4.17566562179788,-3.49351891216422,1.519148189,0.148031505,11.6755174995913,3,93214948.8372093,23102.2495222526,2.25600586725547,4.36025147204521,4.36365427026164,7.96948556553969,9
23099678,4.1290922295798,8.17596892953788,-5.92996213339224,2.673438281,0.4890720396,10.2575845036881,7,4339377.84259928,39.4114611223427,0.0361556289379365,1.58347815326227,1.5956225359975,6.63742746709431,9
23099844,3.95313455845458,7.05945134159391,-4.80594100405954,2.444491723,0.4411347565,10.5008908680898,7,43576700.2118644,489.859544754547,1.02153367362053,2.68065383292097,2.69007157455464,7.63925434077861,9
24425579,3.39197547822177,5.11131944546146,-3.17135512390156,1.699225366,0.1171162676,11.1324142175857,6,769166926.268752,17069.6944030441,2.16157427780441,4.22851906802585,4.23222574605559,8.88602060155736,9
24422823,2.58417783704457,5.13818479936881,-3.15249688786509,1.594366651,0.0908477458,11.1341864231137,4,1030863923.7002,60900.6877513776,2.63779280860915,4.78151400332612,4.78462219714752,9.01320134124236,9
24422913,2.31429603251775,5.45697743460525,-3.8149054676555,1.582604672,0.0757679997,10.8858750830323,3,125674072.546462,10297.4414405924,1.82650941878537,4.00989152602748,4.01272933089309,8.09924568889164,9
23107212,1.88272029632168,7.26559456358545,-7.01055018233331,4.328673273,2.8105206177,9.95073227661364,2,42607.688172043,5.89044749930757,0.188966350221018,0.638021043237914,0.770148289540491,4.62948797068573,9
24425579,3.39197547822177,5.11131944546146,-3.17135512390156,1.699225366,0.1171162676,11.1324142175857,6,769166926.268752,17069.6944030441,2.16157427780441,4.22851906802585,4.23222574605559,8.88602060155736,9
24425579,3.39197547822177,5.11131944546146,-3.17135512390156,1.699225366,0.1171162676,11.1324142175857,6,769166926.268752,17069.6944030441,2.16157427780441,4.22851906802585,4.23222574605559,8.88602060155736,9
24125883,2.13068685110615,4.99889321864783,-3.50655572571933,1.929969861,0.0997015931,10.8922546875392,4,290999535.952297,29786.9319595782,2.46145389699193,4.46978611818481,4.4740257733848,8.46389229643087,9
24125999,1.98289508307244,4.45546205180107,-2.93382355988012,2.115429322,0.1101950099,10.9999576462473,3,838012713.720317,102607.718374325,3.08093133396108,5.00605025960375,5.01118003057405,8.92325060748075,9
24125873,2.46822411511246,4.65474614658234,-2.83316857866411,1.976169231,0.0989385325,10.9871302682016,5,1585846844.62151,107824.846958749,3.03496958789673,5.02833125066612,5.03271885040233,9.20026124240938,9
24125729,1.96948906524166,5.11035891326281,-3.62289086590609,1.967127927,0.1223453897,11.0144574543961,3,182952799.709724,22768.0198779984,2.390075587535,4.35261671628694,4.3573252619084,8.26233905984165,9
24125633,2.39081380548626,5.11322373623273,-3.42290898538405,1.883323408,0.1291502507,10.9062482601799,4,478908429.32243,35764.9824992555,2.5633410914943,4.54899222613844,4.55345801686881,8.68025248117708,9
24125811,2.75718444851648,5.46800215130175,-3.26436693467675,2.090173698,0.1104052508,10.9235531803854,5,1082862060.05378,51871.0732313532,2.77611682406831,4.70989615996017,4.71492523379718,9.03457313772144,9
24126061,2.80843738192206,5.74788766933619,-3.28558640771288,2.200977272,0.1505003653,10.8699544375357,5,1516328468.84498,68260.0197700028,2.98063366199821,4.82803850629661,4.83416640972642,9.18079328886529,9
24125859,2.63303485370296,4.61804053413013,-2.82356720133161,1.999577937,0.1026691216,10.9821576614142,5,1986331284.2661,110599.903327853,3.06065368257691,5.03921584625736,5.04375474736471,9.29805168269419,9
24125699,1.89057022949355,5.47134863846471,-4.02690167800552,1.892305646,0.0952775491,11.1294765799621,3,55776154.1875447,7637.94922833746,1.84919922984874,3.87894009437717,3.88297676716558,7.74644856599479,9
24125769,3.1334897281223,5.58350365612671,-3.09367147804935,2.183469005,0.142072918,10.8296014661947,6,1776958318.56899,53944.4059495045,2.86457570707491,4.72601200651536,4.73194641489056,9.24967724084538,9
24126823,1.2143616194707,5.02745883738434,-4.18774716802645,1.695329358,0.0952825334,11.2202386825241,2,13485702.0413182,4191.31659816515,1.51946079589307,3.61891002933825,3.62235046723875,7.12987355996461,9
24125507,3.34727815062742,5.4670618179439,-3.05692635318409,2.115740263,0.1473416847,10.850383009674,6,2929409375.5913,68629.9035851203,2.94873457905231,4.83085317892183,4.83651338877149,9.46678006718757,9
24125507,3.34727815062742,5.4670618179439,-3.05692635318409,2.115740263,0.1473416847,10.850383009674,6,2929409375.5913,68629.9035851203,2.94873457905231,4.83085317892183,4.83651338877149,9.46678006718757,9
24126251,2.34965802422317,5.25260755751032,-3.61844455187773,1.966628501,0.180685818,10.9445547102269,4,305153437.757626,23954.5352310768,2.45908752973808,4.37413839182831,4.37938774903942,8.48451826693806,9
23100398,2.40844230618293,5.1190273745984,-4.03917524434517,2.511826686,0.332505288,10.6104750723828,4,118925734.486267,8693.64557780089,2.28913928470612,3.92937023954677,3.93920193091545,8.07527584230634,9
24423233,2.88508919186439,5.55488490176228,-3.60626715410997,1.733706217,0.1352449667,11.194978453136,5,447231596.721311,18346.6568299941,2.2244646321721,4.2595695895325,4.2635569376582,8.65053247868195,9
24125193,3.61437257300921,5.96458237195761,-3.74797734793694,2.443734659,0.3589549795,10.3961143761248,6,688651989.032901,11671.7933222441,2.3852919553916,4.05800705961752,4.06713758870346,8.83799980619586,9
24126401,2.13967699804415,3.90323267836677,-3.39500373429751,3.019405316,0.4768733563,10.3694113488777,3,432576153.456221,43798.9539012455,3.24783556086556,4.62355437891713,4.64146373789355,8.63606257449321,9
24126327,2.29938285430524,5.00643787507195,-3.51126148558758,1.984766814,0.1816481976,10.7310184862655,4,362994745.794393,30285.4556656851,2.56836721475779,4.47589357509217,4.48123411231016,8.55990033884047,9
24126315,2.30914386864362,5.12881523357722,-3.51187321053387,2.014539367,0.187584343,10.6681017387859,4,366468476.31242,30215.6754030898,2.58175865913289,4.47471066033882,4.48023230636394,8.56403662249043,9
24125421,3.48284583930534,5.40304826476565,-3.33025443040685,2.232759537,0.1770388055,10.6732939506859,6,562718529.904306,11185.7011363806,2.22692776970456,4.04206626186624,4.04866321150978,8.750291216385,9
24131135,2.35624581850903,5.07090334761898,-4.09585324982412,2.130722103,0.2697471763,10.8519995853747,4,30278758.6690141,2357.97831515132,1.55102961113031,3.36593940867676,3.37253980684328,7.48113806652658,9
24423479,2.49107987138065,5.91952824629657,-4.60151844430197,2.971441865,0.6395825256,10.3496642369259,4,38305769.4113229,2533.32425722798,2.01540796633423,3.38555493373532,3.40369078162315,7.58326419002084,9
24125115,3.66779227047058,5.40222839033347,-3.42085158160828,2.542882622,0.6361092135,11.4107430732691,6,1320635416.93393,20979.7924173967,2.72165944053126,4.31075650513729,4.32180118679247,9.12078294004643,9
23099884,2.6335495499774,6.59759959199851,-5.2609421521941,2.634391038,0.6290050096,10.3748034928772,4,3361912.37721022,187.07619338779,0.692570431261196,2.26042758052388,2.27201852433516,6.52658639007014,9
24126203,1.88262811878086,5.01694503530814,-3.60361937144793,2.153727905,0.1548181415,11.1019837368089,3,190383384.135977,26323.1514439888,2.55306923892252,4.41440206961787,4.42033788238882,8.27962904229978,9
24126509,2.20827308848254,5.13672349077735,-3.7580160800895,2.403777402,0.2317646171,10.7232276902925,4,215384187.617261,20068.123237072,2.57592674543388,4.29427842425508,4.30250675933877,8.33321381649845,9
24126487,2.4043884220584,4.47047044769357,-3.13575663888136,2.49667893,0.2520690258,10.663534067083,4,1268558712.8,93190.272296863,3.28852628470446,4.96021875177635,4.96937058072003,9.10331057250767,9
24126443,1.36933276711044,5.25213957680981,-4.47627959182525,2.328321233,0.2698248175,10.7704676453975,2,13302783.8328792,3426.44960979777,1.79197507043481,3.52692170184783,3.53484434935998,7.12394253395558,9
24126427,1.83478172381361,5.30649300348379,-4.29097790851007,2.830668368,0.3462334529,10.4521091022002,3,46846295.8287596,6863.88356657763,2.32736308247088,3.8229118605726,3.83656990787944,7.67067525659565,9
24126401,2.13967699804415,3.90323267836677,-3.39500373429751,3.019405316,0.4768733563,10.3694113488777,3,432576153.456221,43798.9539012455,3.24783556086556,4.62355437891713,4.64146373789355,8.63606257449321,9
24423347,1.72754613671442,5.31643562735951,-3.98511363258715,1.32954805,0.0874847307,11.6073210794164,3,33803671.3724089,5640.35118078913,1.50195484008807,3.74885336370126,3.75130614496398,7.52896387099331,9
24423347,1.72754613671442,5.31643562735951,-3.98511363258715,1.32954805,0.0874847307,11.6073210794164,3,33803671.3724089,5640.35118078913,1.50195484008807,3.74885336370126,3.75130614496398,7.52896387099331,9
24423347,1.72754613671442,5.31643562735951,-3.98511363258715,1.32954805,0.0874847307,11.6073210794164,3,33803671.3724089,5640.35118078913,1.50195484008807,3.74885336370126,3.75130614496398,7.52896387099331,9
24423347,1.72754613671442,5.31643562735951,-3.98511363258715,1.32954805,0.0874847307,11.6073210794164,3,33803671.3724089,5640.35118078913,1.50195484008807,3.74885336370126,3.75130614496398,7.52896387099331,9
24423347,1.72754613671442,5.31643562735951,-3.98511363258715,1.32954805,0.0874847307,11.6073210794164,3,33803671.3724089,5640.35118078913,1.50195484008807,3.74885336370126,3.75130614496398,7.52896387099331,9
24423347,1.72754613671442,5.31643562735951,-3.98511363258715,1.32954805,0.0874847307,11.6073210794164,3,33803671.3724089,5640.35118078913,1.50195484008807,3.74885336370126,3.75130614496398,7.52896387099331,9
24423879,0.575106984704446,4.5308547105947,-4.4275359965807,1.405187663,0.0995001047,11.2277205063406,1,3471386.02322787,2341.40403014656,1.16851602501626,3.36673355830411,3.36947636154926,6.5405029105415,9
24125193,3.61437257300921,5.96458237195761,-3.74797734793694,2.443734659,0.3589549795,10.3961143761248,6,688651989.032901,11671.7933222441,2.3852919553916,4.05800705961752,4.06713758870346,8.83799980619586,9
24126443,1.36933276711044,5.25213957680981,-4.47627959182525,2.328321233,0.2698248175,10.7704676453975,2,13302783.8328792,3426.44960979777,1.79197507043481,3.52692170184783,3.53484434935998,7.12394253395558,9
