COMID,logQ_m3_div_s,D50_m,logDA_km2,logRT_total_hz_s,logq_hz_total_m_s,pred_DOC,tn_conc_mg_l,pred_DO,StreamOrde,totco2g_per_km,totco2g_per_m2,logtotco2_ang_per_m2,logtotco2_o2g_per_m2,logtotco2g_per_m2,logtotco2g_per_km,ID,m_div_s,site_ID
24422913,0.828207425,0.027570949,2.314296033,5.456977435,-3.814905468,1.582604672,0.075768,10.88587508,3,125674072.5,10297.44144,1.826509419,4.009891526,4.012729331,8.099245689,9,3.27E-08,S01
24422975,1.01999183,0.038683941,2.457377853,5.031331723,-3.104512892,1.373010658,0.063267827,11.11364721,5,717177364.8,49407.57449,2.397665541,4.691591841,4.693793534,8.855626574,9,3.65E-08,S02
24423897,0.003482687,0.01323694,1.623457082,4.442539344,-3.556916378,1.514378905,0.104058358,11.3737407,3,107711799.8,20389.04479,2.155266887,4.306340682,4.30939688,8.032263283,9,2.40E-08,S03
24423139,0.33708366,0.207903517,1.779928217,3.592374358,-2.737269684,1.626283138,0.085758582,11.30766557,2,862857995.6,135116.4592,2.985246677,5.127590222,5.130708256,8.935939328,9,3.61E-08,S04
24422835,0.82444132,0.039947267,2.341033879,5.029638522,-3.384333038,1.692614206,0.10464517,11.0310816,4,429773919.7,34091.74206,2.44377781,4.52909543,4.532649194,8.633240057,9,3.04E-08,S08
24423157,0.784370215,0.036251466,2.244571005,5.120366596,-3.502445013,1.521927691,0.096698977,11.19416515,4,254983412.8,22735.16194,2.194099803,4.353701073,4.356698052,8.40651193,9,3.47E-08,S10
24423001,0.916442023,0.096304762,2.342649244,4.488593715,-2.893186339,1.388054206,0.059595042,11.10265677,5,1050928627,83201.67095,2.615758307,4.917971867,4.920132048,9.021573222,9,3.75E-08,S11
24422871,0.001121753,0.01027966,1.477832914,4.705381512,-3.820079674,1.399170292,0.048071126,11.48259945,2,40438383.74,9132.345457,1.604877656,3.958663492,3.960582332,7.606793789,9,3.34E-08,S12
24125883,0.739447959,0.04233094,2.130686851,4.998893219,-3.506555726,1.929969861,0.099701593,10.89225469,4,290999536,29786.93196,2.461453897,4.469786118,4.474025773,8.463892296,9,4.06E-08,S13
24125945,0.812708343,0.02479009,2.137677496,5.159379785,-3.562438191,2.049148437,0.09787632,11.11697899,4,279188872.4,28336.86387,2.478023039,4.447719774,4.452351784,8.445898105,9,4.73E-08,S14
24126041,-0.141823872,0.014477327,1.213836388,4.707994866,-3.905307255,1.949516654,0.107566611,11.10789214,2,32101197.34,9983.311323,2.006156057,3.99483974,3.999274615,7.506521231,9,4.41E-08,S15
24126011,0.666539041,0.023050428,1.909607906,4.720586698,-3.204830531,2.172668422,0.107643978,10.98203631,3,457496197,61220.16106,2.872706093,4.781570256,4.786894468,8.660387488,9,5.71E-08,S16
24125999,0.7204801,0.048667648,1.982895083,4.455462052,-2.93382356,2.115429322,0.11019501,10.99995765,3,838012713.7,102607.7184,3.080931334,5.00605026,5.011180031,8.923250607,9,5.46E-08,S17
24125873,1.115552646,0.091734758,2.468224115,4.654746147,-2.833168579,1.976169231,0.098938533,10.98713027,5,1585846845,107824.847,3.034969588,5.028331251,5.03271885,9.200261242,9,4.44E-08,S18
24126059,1.388790293,0.040090516,2.822217066,5.58908849,-3.316544999,2.202947606,0.151625424,10.87692926,5,1085186738,48042.33705,2.829647238,4.675474073,4.681624126,9.035504477,9,3.69E-08,S21
24125769,1.71716496,0.070287873,3.133489728,5.583503656,-3.093671478,2.183469005,0.142072918,10.82960147,6,1776958319,53944.40595,2.864575707,4.726012007,4.731946415,9.249677241,9,3.83E-08,S22
24125789,1.7139776,0.065554938,3.123845535,5.497721557,-3.109673228,2.174789065,0.135852767,10.85743489,6,1740222191,53450.34009,2.851282467,4.722142601,4.727950473,9.240604702,9,3.89E-08,S23
24125859,1.307176216,0.117687796,2.633034854,4.618040534,-2.823567201,1.999577937,0.102669122,10.98215766,5,1986331284,110599.9033,3.060653683,5.039215846,5.043754747,9.298051683,9,4.72E-08,S24
24126251,0.836564962,0.037619573,2.349658024,5.252607558,-3.618444552,1.966628501,0.180685818,10.94455471,4,305153437.8,23954.53523,2.45908753,4.374138392,4.379387749,8.484518267,9,3.07E-08,S29
23100392,0.253194671,0.002526003,2.490255216,5.487496762,-4.316360344,2.674422728,0.349252663,10.53119885,4,64392219.28,4262.791334,2.052891212,3.618031357,3.629694074,7.808833393,9,5.79E-09,S30
23100338,0.242069538,0.003430044,2.422483469,5.098428452,-4.053498669,2.808743776,0.314286112,10.20408439,4,58422936.53,4198.733968,2.095052448,3.610049537,3.623118359,7.766583382,9,6.60E-09,S31
23100328,0.570008514,0.002095846,2.847941036,5.916179627,-4.552696194,2.880546448,0.337931028,10.31735404,5,40340982.3,1731.11255,1.748267426,3.224041338,3.238325305,7.605746469,9,5.27E-09,S32
23099694,1.891887854,0.000155293,4.053628504,8.501121387,-5.967300673,2.563688546,0.545372559,10.33340606,7,3476921.918,34.60296187,-0.070100317,1.528299775,1.539113274,6.541194938,9,6.89E-09,S33
23100242,0.804171427,0.000183364,3.161448294,8.51054501,-6.732828272,3.051274021,0.366145042,10.13533629,5,432847.6771,12.702441,-0.314036267,1.086971435,1.103887186,5.636335091,9,4.39E-09,S34
23099678,1.995374128,0.000625838,4.12909223,8.17596893,-5.929962133,2.673438281,0.48907204,10.2575845,7,4339377.843,39.41146112,0.036155629,1.583478153,1.595622536,6.637427467,9,7.35E-09,S35
23100020,0.776389087,0.000492421,3.081173231,7.522695395,-5.809864479,2.897439075,0.578844687,9.938907724,5,2530634.281,81.8535245,0.47298099,1.89697785,1.913037384,6.403229387,9,4.96E-09,S36
23100428,-0.126482809,0.002184005,1.987175396,5.191979669,-4.282869274,2.044417809,0.276726618,10.74439602,3,35695182.84,4347.963853,1.785262434,3.632150781,3.638285925,7.552609611,9,7.70E-09,S37
23105314,-0.896580168,0.001961461,1.296625707,4.715162809,-4.430490081,2.661541121,0.356711921,10.55611698,2,16743694.25,4710.047528,2.092097383,3.661474302,3.673025289,7.223851285,9,6.41E-09,S38
23100434,-0.378927606,0.00189139,1.681832561,5.168980736,-4.410020491,1.778164317,0.254891075,10.8641354,2,13292948.42,2344.373007,1.408956119,3.365250323,3.370026712,7.123621319,9,8.69E-09,S39
23100408,-0.434312529,0.002308118,1.802363859,5.034234921,-4.313023102,2.977185752,0.40664177,10.44107475,3,42574192.6,6487.91985,2.385816463,3.795518688,3.812105476,7.629146421,9,5.80E-09,S40
23100176,0.559227713,0.005836007,2.504694681,4.745077241,-3.588450996,2.143738411,0.275226069,10.60829755,4,372276871.2,24217.31342,2.569473515,4.377419698,4.384125962,8.570866055,9,1.13E-08,S41
23103496,-0.587865044,0.001706608,1.537600004,5.032645508,-4.427718571,2.528512099,0.3815983,10.72366728,3,19077261.82,4007.226121,1.970872323,3.59258898,3.60284385,7.28051604,9,7.49E-09,S42
23100162,0.561029121,0.00194968,2.563140636,5.849035355,-4.583025165,2.30509357,0.287093427,10.43239665,4,13311048.42,806.6903622,1.158401676,2.898883661,2.906706868,7.124212263,9,9.95E-09,S43
23100192,0.495854985,0.007689439,2.375192858,5.186974623,-3.84895469,1.953659974,0.255654626,10.65761716,4,162162881,12341.83342,2.197331642,4.085801115,4.091379681,8.209951451,9,1.32E-08,S44
24423421,0.571449257,0.011362785,2.197086944,5.625393453,-4.021009202,1.581797666,0.114097733,10.96198175,3,67205651.11,6347.270374,1.686096594,3.799253043,3.802586998,7.827405793,9,2.37E-08,S45
24423347,0.197689512,0.00683685,1.727546137,5.316435627,-3.985113633,1.32954805,0.087484731,11.60732108,3,33803671.37,5640.351181,1.50195484,3.748853364,3.751306145,7.528963871,9,2.95E-08,S46
24423359,0.5248644,0.011299436,1.999491143,5.000911015,-3.448998898,1.629201422,0.072939067,11.41275027,3,249329459.1,29920.37527,2.299911989,4.473061803,4.475967036,8.396773595,9,3.35E-08,S47
24423325,0.099985041,0.010714854,1.641619842,4.899976622,-3.808643709,1.296628388,0.098324304,11.17686099,2,47755485.35,8842.929949,1.703287744,3.944108938,3.946596185,7.679023263,9,2.87E-08,S48
24423655,-0.050154982,0.009378762,1.909135973,5.008789416,-4.008289698,2.280655997,0.246803275,11.22170966,3,75491306.75,10107.69999,2.234664931,3.997213403,4.004652343,7.877896943,9,1.10E-08,S49
24125037,1.652344511,0.001685731,3.741082201,7.0777802,-4.895260307,2.629772301,0.67267552,10.33347194,6,51071270.29,742.3622872,1.310661305,2.85848534,2.870615901,7.70817666,9,8.15E-09,S50
24422713,1.664907123,0.049457245,3.219974221,5.694529456,-3.196821509,1.644525658,0.100965419,11.11613256,5,2184014816,59703.56676,2.663830872,4.772632855,4.776000277,9.33925558,9,2.79E-08,S50P
24423233,1.133411872,0.041763726,2.885089192,5.554884902,-3.606267154,1.733706217,0.135244967,11.19497845,5,447231596.7,18346.65683,2.224464632,4.25956959,4.263556938,8.650532479,9,1.77E-08,S51
24423623,-0.671390898,0.003040647,1.260152512,4.749107263,-4.190670413,1.671530716,0.178955717,10.86377248,3,19349515.33,5689.094931,1.72347165,3.750985855,3.755043181,7.286670091,9,1.17E-08,S52
24424869,0.068961299,0.038913631,1.643213749,4.279791939,-3.509187109,1.598651876,0.128188882,11.50059594,3,122610407.1,22660.0697,2.260338999,4.351756846,4.355261241,8.088527334,9,2.67E-08,S53
24423243,1.095874447,0.022155303,2.811124191,5.676182874,-3.585765061,1.604450508,0.119710861,11.21054582,5,619652462.9,27803.98172,2.342203174,4.440658707,4.444106994,8.79214818,9,1.93E-08,S54
24423517,0.125019689,0.004707494,2.177416439,5.631309448,-4.280479625,2.628400078,0.283725141,10.69919992,4,67223936.17,6502.187348,2.1976948,3.802399938,3.813059479,7.827523938,9,8.86E-09,S55
24423479,0.229101786,0.001452888,2.491079871,5.919528246,-4.601518444,2.971441865,0.639582526,10.34966424,4,38305769.41,2533.324257,2.015407966,3.385554934,3.403690782,7.58326419,9,5.47E-09,S56
23099864,2.074428139,0.015675006,3.922971582,5.22402203,-3.32461866,2.376596825,0.319991974,10.56302668,7,1052134952,12267.78449,2.375946111,4.080270319,4.088766138,9.022071448,9,1.42E-08,S57
24425515,1.765270312,0.022015788,3.396174126,5.030627389,-3.098221988,1.715429601,0.117215177,11.12558233,6,640616024.9,14144.67005,2.085939833,4.146834368,4.150592821,8.806597798,9,2.34E-08,S58
24422873,-0.079578239,0.006258646,1.378715783,4.9899541,-3.93370323,1.408334771,0.046378673,11.40531504,2,25006393.89,6368.157088,1.441236126,3.802125993,3.804013768,7.398051068,9,3.48E-08,S61
24423847,-0.967714604,0.003143391,0.560086048,4.339422682,-4.17508365,1.368859894,0.055054443,11.96247777,1,6008577.713,4127.16648,1.2853295,3.613617389,3.615651988,6.778771683,9,2.97E-08,S62
23100404,0.112483448,0.004070786,2.263836484,5.000141861,-3.918173568,2.335023395,0.304284516,10.70286492,4,136145830.3,11859.03451,2.343877556,4.065889409,4.074049333,8.134004345,9,7.06E-09,S63
23100608,-0.741910876,0.001509103,1.503821995,4.993301935,-4.390585711,2.424676008,0.34104807,10.76546229,2,16283480.53,3563.324863,1.868380357,3.542759442,3.551855418,7.211747239,9,5.68E-09,S63P
23100200,-0.064011398,0.009911171,1.832701109,4.844799177,-3.897531366,2.161236593,0.24263506,10.68453674,3,83110999.34,12208.10815,2.268402125,4.079997794,4.086648368,7.919658504,9,1.27E-08,S64
24424705,-1.323163155,0.001690832,0.81691046,4.518682064,-4.358516785,2.484149083,0.329966531,11.54092351,2,8907000,4481.488004,1.988696725,3.641876202,3.651422238,6.949731452,9,7.24E-09,S65
24423741,-0.331208778,0.019373817,1.401121262,4.175665622,-3.493518912,1.519148189,0.148031505,11.6755175,3,93214948.84,23102.24952,2.256005867,4.360251472,4.36365427,7.969485566,9,1.85E-08,S66
23099678,1.995374128,0.000625838,4.12909223,8.17596893,-5.929962133,2.673438281,0.48907204,10.2575845,7,4339377.843,39.41146112,0.036155629,1.583478153,1.595622536,6.637427467,9,7.35E-09,T02
23099844,2.019469822,0.002033648,3.953134558,7.059451342,-4.805941004,2.444491723,0.441134757,10.50089087,7,43576700.21,489.8595448,1.021533674,2.680653833,2.690071575,7.639254341,9,1.17E-08,T03
24425579,1.759461762,0.028242725,3.391975478,5.111319445,-3.171355124,1.699225366,0.117116268,11.13241422,6,769166926.3,17069.6944,2.161574278,4.228519068,4.232225746,8.886020602,9,2.33E-08,T05
24422823,1.076959912,0.036236647,2.584177837,5.138184799,-3.152496888,1.594366651,0.090847746,11.13418642,4,1030863924,60900.68775,2.637792809,4.781514003,4.784622197,9.013201341,9,3.11E-08,T05P
24422913,0.828207425,0.027570949,2.314296033,5.456977435,-3.814905468,1.582604672,0.075768,10.88587508,3,125674072.5,10297.44144,1.826509419,4.009891526,4.012729331,8.099245689,9,3.27E-08,T06
23107212,-1.668285907,0.000118944,1.882720296,7.265594564,-7.010550182,4.328673273,2.810520618,9.950732277,2,42607.68817,5.890447499,0.18896635,0.638021043,0.77014829,4.629487971,9,2.81E-10,T07
24425579,1.759461762,0.028242725,3.391975478,5.111319445,-3.171355124,1.699225366,0.117116268,11.13241422,6,769166926.3,17069.6944,2.161574278,4.228519068,4.232225746,8.886020602,9,2.33E-08,T41
24425579,1.759461762,0.028242725,3.391975478,5.111319445,-3.171355124,1.699225366,0.117116268,11.13241422,6,769166926.3,17069.6944,2.161574278,4.228519068,4.232225746,8.886020602,9,2.33E-08,T42
24125883,0.739447959,0.04233094,2.130686851,4.998893219,-3.506555726,1.929969861,0.099701593,10.89225469,4,290999536,29786.93196,2.461453897,4.469786118,4.474025773,8.463892296,9,4.06E-08,S13R
24125999,0.7204801,0.048667648,1.982895083,4.455462052,-2.93382356,2.115429322,0.11019501,10.99995765,3,838012713.7,102607.7184,3.080931334,5.00605026,5.011180031,8.923250607,9,5.46E-08,S17R
24125873,1.115552646,0.091734758,2.468224115,4.654746147,-2.833168579,1.976169231,0.098938533,10.98713027,5,1585846845,107824.847,3.034969588,5.028331251,5.03271885,9.200261242,9,4.44E-08,S18R
24125729,0.432779804,0.008821905,1.969489065,5.110358913,-3.622890866,1.967127927,0.12234539,11.01445745,3,182952799.7,22768.01988,2.390075588,4.352616716,4.357325262,8.26233906,9,2.91E-08,S19
24125633,0.779938952,0.022451034,2.390813805,5.113223736,-3.422908985,1.883323408,0.129150251,10.90624826,4,478908429.3,35764.9825,2.563341091,4.548992226,4.553458017,8.680252481,9,2.45E-08,S19E
24125811,1.393699406,0.049718053,2.757184449,5.468002151,-3.264366935,2.090173698,0.110405251,10.92355318,5,1082862060,51871.07323,2.776116824,4.70989616,4.714925234,9.034573138,9,4.33E-08,S20R
24126061,1.378296761,0.013965597,2.808437382,5.747887669,-3.285586408,2.200977272,0.150500365,10.86995444,5,1516328469,68260.01977,2.980633662,4.828038506,4.83416641,9.180793289,9,3.71E-08,S21R
24125859,1.307176216,0.117687796,2.633034854,4.618040534,-2.823567201,1.999577937,0.102669122,10.98215766,5,1986331284,110599.9033,3.060653683,5.039215846,5.043754747,9.298051683,9,4.72E-08,S24R
24125699,0.399326629,0.008220337,1.890570229,5.471348638,-4.026901678,1.892305646,0.095277549,11.12947658,3,55776154.19,7637.949228,1.84919923,3.878940094,3.882976767,7.746448566,9,3.23E-08,S25
24125769,1.71716496,0.070287873,3.133489728,5.583503656,-3.093671478,2.183469005,0.142072918,10.82960147,6,1776958319,53944.40595,2.864575707,4.726012007,4.731946415,9.249677241,9,3.83E-08,S26R
24126823,-0.14547019,0.008017718,1.214361619,5.027458837,-4.187747168,1.695329358,0.095282533,11.22023868,2,13485702.04,4191.316598,1.519460796,3.618910029,3.622350467,7.12987356,9,4.37E-08,S27R
24125507,1.845979486,0.221424724,3.347278151,5.467061818,-3.056926353,2.115740263,0.147341685,10.85038301,6,2929409376,68629.90359,2.948734579,4.830853179,4.836513389,9.466780067,9,3.15E-08,S28R
24125507,1.845979486,0.221424724,3.347278151,5.467061818,-3.056926353,2.115740263,0.147341685,10.85038301,6,2929409376,68629.90359,2.948734579,4.830853179,4.836513389,9.466780067,9,3.15E-08,S28RE
24126251,0.836564962,0.037619573,2.349658024,5.252607558,-3.618444552,1.966628501,0.180685818,10.94455471,4,305153437.8,23954.53523,2.45908753,4.374138392,4.379387749,8.484518267,9,3.07E-08,S29R
23100398,0.215787257,0.003432752,2.408442306,5.119027375,-4.039175244,2.511826686,0.332505288,10.61047507,4,118925734.5,8693.645578,2.289139285,3.92937024,3.939201931,8.075275842,9,6.42E-09,S30R
24423233,1.133411872,0.041763726,2.885089192,5.554884902,-3.606267154,1.733706217,0.135244967,11.19497845,5,447231596.7,18346.65683,2.224464632,4.25956959,4.263556938,8.650532479,9,1.77E-08,S49R
24125193,1.851255692,0.005888307,3.614372573,5.964582372,-3.747977348,2.443734659,0.35895498,10.39611438,6,688651989,11671.79332,2.385291955,4.05800706,4.067137589,8.837999806,9,1.73E-08,S67
24126401,-0.211415331,0.009857876,2.139676998,3.903232678,-3.395003734,3.019405316,0.476873356,10.36941135,3,432576153.5,43798.9539,3.247835561,4.623554379,4.641463738,8.636062574,9,4.46E-09,S68
24126327,0.730912762,0.036410165,2.299382854,5.006437875,-3.511261486,1.984766814,0.181648198,10.73101849,4,362994745.8,30285.45567,2.568367215,4.475893575,4.481234112,8.559900339,9,2.70E-08,S71
24126315,0.731191462,0.033778149,2.309143869,5.128815234,-3.511873211,2.014539367,0.187584343,10.66810174,4,366468476.3,30215.6754,2.581758659,4.47471066,4.480232306,8.564036622,9,2.64E-08,S72
24125421,1.91386279,0.009357573,3.482845839,5.403048265,-3.33025443,2.232759537,0.177038806,10.67329395,6,562718529.9,11185.70114,2.22692777,4.042066262,4.048663212,8.750291216,9,2.70E-08,S73
24131135,0.493386244,0.00332543,2.356245819,5.070903348,-4.09585325,2.130722103,0.269747176,10.85199959,4,30278758.67,2357.978315,1.551029611,3.365939409,3.372539807,7.481138067,9,1.37E-08,S75
24423479,0.229101786,0.001452888,2.491079871,5.919528246,-4.601518444,2.971441865,0.639582526,10.34966424,4,38305769.41,2533.324257,2.015407966,3.385554934,3.403690782,7.58326419,9,5.47E-09,S77
24125115,1.628820056,0.008931206,3.66779227,5.40222839,-3.420851582,2.542882622,0.636109214,11.41074307,6,1320635417,20979.79242,2.721659441,4.310756505,4.321801187,9.12078294,9,9.14E-09,S79
23099884,0.357862348,0.000862334,2.63354955,6.597599592,-5.260942152,2.634391038,0.62900501,10.37480349,4,3361912.377,187.0761934,0.692570431,2.260427581,2.272018524,6.52658639,9,5.30E-09,S82
24126203,0.637490711,0.024256406,1.882628119,5.016945035,-3.603619371,2.153727905,0.154818142,11.10198374,3,190383384.1,26323.15144,2.553069239,4.41440207,4.420337882,8.279629042,9,5.69E-08,S83
24126509,0.294335778,0.010762591,2.208273088,5.136723491,-3.75801608,2.403777402,0.231764617,10.72322769,4,215384187.6,20068.12324,2.575926745,4.294278424,4.302506759,8.333213816,9,1.22E-08,W10 
24126487,0.419405628,0.034287287,2.404388422,4.470470448,-3.135756639,2.49667893,0.252069026,10.66353407,4,1268558713,93190.2723,3.288526285,4.960218752,4.969370581,9.103310573,9,1.04E-08,W20 
24126443,-0.687078316,0.001698558,1.369332767,5.252139577,-4.476279592,2.328321233,0.269824818,10.77046765,2,13302783.83,3426.44961,1.79197507,3.526921702,3.534844349,7.123942534,9,8.78E-09,U10 
24126427,-0.354440937,0.002724906,1.834781724,5.306493003,-4.290977909,2.830668368,0.346233453,10.4521091,3,46846295.83,6863.883567,2.327363082,3.822911861,3.836569908,7.670675257,9,6.47E-09,U20 
24126401,-0.211415331,0.009857876,2.139676998,3.903232678,-3.395003734,3.019405316,0.476873356,10.36941135,3,432576153.5,43798.9539,3.247835561,4.623554379,4.641463738,8.636062574,9,4.46E-09,U21 
24423347,0.197689512,0.00683685,1.727546137,5.316435627,-3.985113633,1.32954805,0.087484731,11.60732108,3,33803671.37,5640.351181,1.50195484,3.748853364,3.751306145,7.528963871,9,2.95E-08,C11 
24423347,0.197689512,0.00683685,1.727546137,5.316435627,-3.985113633,1.32954805,0.087484731,11.60732108,3,33803671.37,5640.351181,1.50195484,3.748853364,3.751306145,7.528963871,9,2.95E-08,C10 
24423347,0.197689512,0.00683685,1.727546137,5.316435627,-3.985113633,1.32954805,0.087484731,11.60732108,3,33803671.37,5640.351181,1.50195484,3.748853364,3.751306145,7.528963871,9,2.95E-08,C21 
24423347,0.197689512,0.00683685,1.727546137,5.316435627,-3.985113633,1.32954805,0.087484731,11.60732108,3,33803671.37,5640.351181,1.50195484,3.748853364,3.751306145,7.528963871,9,2.95E-08,Ct20 
24423347,0.197689512,0.00683685,1.727546137,5.316435627,-3.985113633,1.32954805,0.087484731,11.60732108,3,33803671.37,5640.351181,1.50195484,3.748853364,3.751306145,7.528963871,9,2.95E-08,Ct21 
24423347,0.197689512,0.00683685,1.727546137,5.316435627,-3.985113633,1.32954805,0.087484731,11.60732108,3,33803671.37,5640.351181,1.50195484,3.748853364,3.751306145,7.528963871,9,2.95E-08,C20 
24423879,-1.19365455,0.0017082,0.575106985,4.530854711,-4.427535997,1.405187663,0.099500105,11.22772051,1,3471386.023,2341.40403,1.168516025,3.366733558,3.369476362,6.540502911,9,1.70E-08,J21
24125193,1.851255692,0.005888307,3.614372573,5.964582372,-3.747977348,2.443734659,0.35895498,10.39611438,6,688651989,11671.79332,2.385291955,4.05800706,4.067137589,8.837999806,9,1.73E-08,U23
24126443,-0.687078316,0.001698558,1.369332767,5.252139577,-4.476279592,2.328321233,0.269824818,10.77046765,2,13302783.83,3426.44961,1.79197507,3.526921702,3.534844349,7.123942534,9,8.78E-09,U22
